0	2	3	4	5	6	7	8	9	10
1	2	1	4	5	1	1	8	3	7
1	2	1	4	5	3	3	5	7	6
1	2	1	4	5	3	3	5	7	6
1	2	1	4	5	3	3	5	7	6
1	2	1	4	5	1	1	8	3	7
1	2	1	4	5	1	1	8	3	9
1	2	1	4	5	3	3	5	7	6
1	2	1	4	5	1	1	8	3	7
1	2	1	4	5	3	3	5	7	6
1	2	1	4	5	3	3	5	7	6
1	2	1	4	5	1	1	8	3	9
1	2	1	4	5	3	3	5	7	7
1	2	1	4	5	3	3	5	7	6
1	2	1	4	5	3	3	5	7	6
1	2	1	4	5	1	1	8	3	9
1	2	1	4	5	1	1	8	3	9
1	2	1	4	5	1	1	8	3	9
1	2	1	4	5	1	1	8	3	7
1	2	1	4	5	1	1	8	3	9
1	2	1	4	5	1	1	8	3	7
1	2	1	4	5	1	1	8	3	7
1	2	1	4	5	1	1	8	3	7
1	2	1	4	5	3	3	5	7	6
1	2	1	4	5	1	1	8	3	7
1	2	1	4	5	3	3	5	7	7
1	2	1	4	5	3	3	5	7	6
1	2	1	4	5	1	1	8	3	7
1	2	1	4	5	1	1	8	3	7
1	2	1	4	5	1	1	8	3	7
1	2	1	4	5	3	3	5	7	6
1	2	1	4	5	3	3	5	7	6
1	2	1	4	5	1	1	8	3	7
1	2	1	4	5	1	1	8	3	9
1	2	1	4	5	1	1	8	3	9
1	2	1	4	5	3	3	5	7	6
1	2	1	4	5	3	3	5	7	6
1	2	1	4	5	1	1	8	3	7
1	2	1	4	5	1	1	8	3	7
1	2	1	4	5	3	3	5	7	6
1	2	1	4	5	1	1	8	3	7
1	2	1	4	5	1	1	8	3	7
1	2	1	4	5	3	3	5	7	6
1	2	1	4	5	3	3	5	7	6
1	2	1	4	5	1	1	8	3	7
1	2	1	4	5	1	1	8	3	7
1	2	1	4	5	3	3	5	7	6
1	2	1	4	5	1	1	8	3	7
1	2	1	4	5	3	3	5	7	6
1	2	1	4	5	1	1	8	3	7
1	2	1	4	5	3	3	5	7	7
2	1	2	2	3	6	4	3	2	5
2	1	2	2	3	6	4	3	2	5
2	1	3	2	3	6	4	3	2	5
2	1	2	1	4	4	6	6	8	3
2	1	2	2	3	6	4	3	2	5
2	1	2	1	4	6	6	6	8	3
2	1	2	2	3	6	4	3	2	5
2	2	2	1	4	4	6	2	9	10
2	1	2	2	3	6	4	3	2	5
2	1	2	1	4	4	6	6	8	10
2	1	2	1	4	4	6	2	9	10
2	1	2	1	4	6	6	6	8	3
2	1	2	1	4	4	6	6	8	3
2	1	2	2	3	6	4	3	2	5
2	1	2	1	4	4	6	6	8	10
2	1	2	2	3	6	4	3	2	5
